252	166
272	132
272	81
272	45
272	81
272	152
272	81
272	81
45	166
45	166
45	81
45	166
45	81
45	261
45	166
45	23
45	62
45	45
146	52
210	85
210	282
210	210
210	210
210	245
210	210
210	210
210	132
210	210
210	210
210	132
210	210
210	210
210	210
210	210
210	166
210	210
210	210
210	210
210	210
210	406
210	210
210	210
210	210
210	210
210	166
210	132
210	210
210	321
210	210
210	210
210	210
210	210
210	132
210	210
210	81
210	81
210	196
210	210
210	131
136	314
136	314
136	62
136	166
67	133
67	68
67	51
67	184
67	322
67	23
67	412
67	6
67	67
67	59
67	74
67	18
67	324
67	412
67	74
67	165
329	81
58	81
58	163
58	81
58	81
58	213
58	81
58	2
58	81
58	152
58	132
58	406
29	166
29	166
29	182
344	165
344	427
344	54
344	106
344	269
344	308
344	312
344	308
344	331
417	166
417	132
417	213
358	358
296	294
341	342
341	302
341	289
341	30
341	286
341	21
341	302
341	326
341	342
341	94
119	81
119	239
119	81
119	367
119	207
119	207
119	274
119	243
119	81
119	290
119	81
119	132
119	334
119	243
119	166
119	227
119	81
119	166
119	111
119	329
119	119
119	107
119	349
347	377
347	294
2	81
4	322
4	81
4	81
4	81
413	375
413	327
413	122
413	381
413	122
413	435
413	62
413	166
413	166
413	81
127	340
127	424
127	424
44	23
44	23
12	438
12	401
12	412
12	23
176	203
57	284
57	6
57	18
57	341
57	192
57	192
57	94
57	342
57	30
57	16
57	289
57	354
57	311
57	59
57	6
57	399
57	16
57	354
57	30
57	6
57	16
57	283
57	199
57	16
57	143
57	277
57	309
57	156
57	195
57	49
57	30
57	320
57	6
57	165
57	67
57	26
57	44
57	3
57	193
57	195
57	16
57	302
57	16
57	78
57	68
57	26
57	28
57	16
57	79
57	165
57	78
239	166
239	323
239	323
239	81
239	81
239	323
158	158
158	158
158	158
158	158
158	158
158	158
158	158
158	254
158	158
158	158
158	158
158	158
158	158
158	158
158	158
158	158
158	158
158	158
158	158
158	158
158	158
158	158
158	300
158	300
167	7
167	113
167	191
167	202
167	113
167	16
102	81
102	81
102	69
102	81
102	81
102	81
20	192
20	74
20	19
20	6
20	93
20	184
20	44
243	243
243	243
243	243
243	243
243	243
243	243
243	243
243	243
243	243
243	243
243	243
243	243
1	172
1	30
1	311
1	23
168	160
168	406
333	149
203	166
203	405
203	166
203	425
144	16
144	59
52	284
52	160
52	148
52	254
52	424
52	280
52	18
336	81
435	166
435	227
435	23
118	118
118	118
118	118
122	7
122	153
122	25
122	389
122	41
122	106
122	326
122	133
122	395
122	40
122	253
122	389
286	12
286	287
286	6
286	161
286	361
114	12
114	12
114	26
114	114
114	54
114	312
114	26
114	68
114	278
114	374
114	78
114	84
114	60
114	401
114	21
114	79
114	312
114	78
114	51
114	26
114	26
114	18
114	35
114	26
114	291
114	424
114	138
114	16
114	424
114	192
114	94
114	326
114	193
114	26
114	6
114	78
114	289
114	12
114	35
114	389
114	244
114	397
114	193
114	172
114	195
114	312
114	414
114	6
114	118
114	26
114	194
114	44
114	397
114	426
114	94
114	265
114	389
114	300
114	26
114	79
114	160
383	37
246	81
246	196
246	81
246	132
136	62
174	81
174	81
174	323
174	132
174	132
360	136
360	166
160	342
160	156
160	54
160	106
160	52
160	18
160	254
160	12
160	266
160	289
160	414
160	160
160	399
160	412
271	69
271	81
271	166
271	271
271	435
263	14
263	255
263	150
263	14
263	330
