WikiPageName,Party,State,Sex,Age
Kenny_Marchant,Republican,Texas,Male,68
Michael_McCaul,Republican,Texas,Male,57
Patrick_McHenry,Republican,North Carolina,Male,44
Cathy_McMorris_Rodgers,Republican,Washington,Female,50
Gwen_Moore,Democratic,Wisconsin,Female,68
Ted_Poe,Republican,Texas,Male,71
Tom_Price_(American_politician),Republican,Georgia,Male,65
Dave_Reichert,Republican,Washington,Male,69
Debbie_Wasserman_Schultz,Democratic,Florida,Female,53
Doris_Matsui,Democratic,California,Female,75
Albio_Sires,Democratic,New Jersey,Male,68
Steve_Pearce_(politician),Republican,New Mexico,Male,72
Gus_Bilirakis,Republican,Florida,Male,56
Vern_Buchanan,Republican,Florida,Male,68
Kathy_Castor,Democratic,Florida,Female,53
Yvette_Clarke,Democratic,New York,Female,55
Steve_Cohen,Democratic,Tennessee,Male,70
Joe_Courtney_(politician),Democratic,Connecticut,Male,66
Keith_Ellison,Democratic,Minnesota,Male,56
Hank_Johnson,Democratic,Georgia,Male,65
Jim_Jordan_(American_politician),Republican,Ohio,Male,55
Doug_Lamborn,Republican,Colorado,Male,65
Dave_Loebsack,Democratic,Iowa,Male,66
Kevin_McCarthy_(U.S._Representative),Republican,California,Male,54
Jerry_McNerney,Democratic,California,Male,68
Ed_Perlmutter,Democratic,Colorado,Male,66
Peter_Roskam,Republican,Illinois,Male,58
John_Sarbanes,Democratic,Maryland,Male,57
Adrian_Smith_(politician),Republican,Nebraska,Male,48
Tim_Walz,Democratic,Minnesota,Male,55
Peter_Welch,Democratic,Vermont,Male,72
John_Yarmuth,Democratic,Kentucky,Male,72
Niki_Tsongas,Democratic,Massachusetts,Female,73
Bob_Latta,Republican,Ohio,Male,63
Rob_Wittman,Republican,Virginia,Male,60
André_Carson,Democratic,Indiana,Male,45
Jackie_Speier,Democratic,California,Female,69
Steve_Scalise,Republican,Louisiana,Male,54
Marcia_Fudge,Democratic,Ohio,Female,67
Rick_Nolan,Democratic,Minnesota,Male,75
Mark_Sanford,Republican,South Carolina,Male,59
Jason_Chaffetz,Republican,Utah,Male,52
Mike_Coffman,Republican,Colorado,Male,64
Gerry_Connolly,Democratic,Virginia,Male,69
Brett_Guthrie,Republican,Kentucky,Male,55
Gregg_Harper,Republican,Mississippi,Male,63
Jim_Himes,Democratic,Connecticut,Male,53
Duncan_D._Hunter,Republican,California,Male,43
Lynn_Jenkins,Republican,Kansas,Female,56
Leonard_Lance,Republican,New Jersey,Male,67
Blaine_Luetkemeyer,Republican,Missouri,Male,67
Ben_Ray_Luján,Democratic,New Mexico,Male,47
Tom_McClintock,Republican,California,Male,63
Pete_Olson,Republican,Texas,Male,57
Erik_Paulsen,Republican,Minnesota,Male,54
Chellie_Pingree,Democratic,Maine,Female,64
Jared_Polis,Democratic,Colorado,Male,44
Bill_Posey,Republican,Florida,Male,71
Phil_Roe_(politician),Republican,Tennessee,Male,74
Tom_Rooney_(Florida_politician),Republican,Florida,Male,49
Kurt_Schrader,Democratic,Oregon,Male,68
Glenn_Thompson_(politician),Republican,Pennsylvania,Male,60
Paul_Tonko,Democratic,New York,Male,70
Mike_Quigley_(politician),Democratic,Illinois,Male,61
Judy_Chu,Democratic,California,Female,66
John_Garamendi,Democratic,California,Male,74
Ted_Deutch,Democratic,Florida,Male,53
Tom_Graves,Republican,Georgia,Male,49
Tom_Reed_(politician),Republican,New York,Male,48
Tim_Walberg,Republican,Michigan,Male,68
Bill_Foster_(politician),Democratic,Illinois,Male,64
Justin_Amash,Republican,Michigan,Male,39
Lou_Barletta,Republican,Pennsylvania,Male,63
Karen_Bass,Democratic,California,Female,66
Diane_Black,Republican,Tennessee,Female,68
Mo_Brooks,Republican,Alabama,Male,65
Larry_Bucshon,Republican,Indiana,Male,57
David_Cicilline,Democratic,Rhode Island,Male,58
Rick_Crawford_(politician),Republican,Arkansas,Male,53
Jeff_Denham,Republican,California,Male,52
Scott_DesJarlais,Republican,Tennessee,Male,55
Sean_Duffy,Republican,Wisconsin,Male,48
Jeff_Duncan_(politician),Republican,South Carolina,Male,53
Blake_Farenthold,Republican,Texas,Male,57
Chuck_Fleischmann,Republican,Tennessee,Male,57
Bill_Flores,Republican,Texas,Male,65
Bob_Gibbs,Republican,Ohio,Male,65
Paul_Gosar,Republican,Arizona,Male,61
Trey_Gowdy,Republican,South Carolina,Male,55
Morgan_Griffith,Republican,Virginia,Male,61
Andy_Harris_(politician),Republican,Maryland,Male,62
Vicky_Hartzler,Republican,Missouri,Female,59
Jaime_Herrera_Beutler,Republican,Washington,Female,41
Bill_Huizenga,Republican,Michigan,Male,50
Randy_Hultgren,Republican,Illinois,Male,53
Bill_Johnson_(Ohio_politician),Republican,Ohio,Male,65
Bill_Keating_(politician),Democratic,Massachusetts,Male,67
Mike_Kelly_(Pennsylvania_politician),Republican,Pennsylvania,Male,71
Adam_Kinzinger,Republican,Illinois,Male,41
Raúl_Labrador,Republican,Idaho,Male,51
Billy_Long,Republican,Missouri,Male,64
Tom_Marino,Republican,Pennsylvania,Male,67
David_McKinley,Republican,West Virginia,Male,72
Pat_Meehan,Republican,Pennsylvania,Male,64
Mick_Mulvaney,Republican,South Carolina,Male,52
Kristi_Noem,Republican,South Dakota,Female,48
Steven_Palazzo,Republican,Mississippi,Male,49
Mike_Pompeo,Republican,Kansas,Male,55
Jim_Renacci,Republican,Ohio,Male,61
Cedric_Richmond,Democratic,Louisiana,Male,46
Martha_Roby,Republican,Alabama,Female,43
Todd_Rokita,Republican,Indiana,Male,49
Dennis_Ross_(politician),Republican,Florida,Male,60
David_Schweikert,Republican,Arizona,Male,57
Austin_Scott_(politician),Republican,Georgia,Male,50
Terri_Sewell,Democratic,Alabama,Female,54
Steve_Stivers,Republican,Ohio,Male,54
Scott_Tipton,Republican,Colorado,Male,63
Daniel_Webster_(Florida_politician),Republican,Florida,Male,70
Frederica_Wilson,Democratic,Florida,Female,77
Steve_Womack,Republican,Arkansas,Male,62
Rob_Woodall,Republican,Georgia,Male,49
Kevin_Yoder,Republican,Kansas,Male,43
Mark_Amodei,Republican,Nevada,Male,61
Suzanne_Bonamici,Democratic,Oregon,Female,65
Suzan_DelBene,Democratic,Washington,Female,57
Thomas_Massie,Republican,Kentucky,Male,48
Donald_Payne_Jr.,Democratic,New Jersey,Male,60
Dina_Titus,Democratic,Nevada,Female,69
Carol_Shea-Porter,Democratic,New Hampshire,Female,67
Colleen_Hanabusa,Democratic,Hawaii,Female,68
Andy_Barr_(American_politician),Republican,Kentucky,Male,46
Joyce_Beatty,Democratic,Ohio,Female,69
Ami_Bera,Democratic,California,Male,54
Jim_Bridenstine,Republican,Oklahoma,Male,44
Susan_Brooks,Republican,Indiana,Female,59
Julia_Brownley,Democratic,California,Female,67
Cheri_Bustos,Democratic,Illinois,Female,58
Tony_Cárdenas,Democratic,California,Male,56
Matt_Cartwright,Democratic,Pennsylvania,Male,58
Joaquín_Castro,Democratic,Texas,Male,45
Chris_Collins_(American_politician),Republican,New York,Male,69
Doug_Collins_(politician),Republican,Georgia,Male,53
Paul_Cook_(politician),Republican,California,Male,76
Kevin_Cramer,Republican,North Dakota,Male,58
Rodney_Davis_(politician),Republican,Illinois,Male,49
John_Delaney_(Maryland_politician),Democratic,Maryland,Male,56
Ron_DeSantis,Republican,Florida,Male,41
Elizabeth_Esty,Democratic,Connecticut,Female,60
Lois_Frankel,Democratic,Florida,Female,71
Tulsi_Gabbard,Democratic,Hawaii,Female,38
Denny_Heck,Democratic,Washington,Male,67
George_Holding,Republican,North Carolina,Male,51
Richard_Hudson_(American_politician),Republican,North Carolina,Male,48
Jared_Huffman,Democratic,California,Male,55
Hakeem_Jeffries,Democratic,New York,Male,49
David_Joyce_(politician),Republican,Ohio,Male,62
Joe_Kennedy_III,Democratic,Massachusetts,Male,39
Dan_Kildee,Democratic,Michigan,Male,61
Derek_Kilmer,Democratic,Washington,Male,45
Ann_McLane_Kuster,Democratic,New Hampshire,Female,63
Doug_LaMalfa,Republican,California,Male,59
Alan_Lowenthal,Democratic,California,Male,78
Michelle_Lujan_Grisham,Democratic,New Mexico,Female,60
Sean_Patrick_Maloney,Democratic,New York,Male,53
Mark_Meadows_(North_Carolina_politician),Republican,North Carolina,Male,60
Grace_Meng,Democratic,New York,Female,44
Luke_Messer,Republican,Indiana,Male,50
Markwayne_Mullin,Republican,Oklahoma,Male,42
Beto_O'Rourke,Democratic,Texas,Male,47
Scott_Perry_(politician),Republican,Pennsylvania,Male,57
Scott_Peters_(politician),Democratic,California,Male,61
Robert_Pittenger,Republican,North Carolina,Male,71
Mark_Pocan,Democratic,Wisconsin,Male,55
Tom_Rice,Republican,South Carolina,Male,62
Keith_Rothfus,Republican,Pennsylvania,Male,57
Raul_Ruiz_(politician),Democratic,California,Male,47
Kyrsten_Sinema,Democratic,Arizona,Female,43
Chris_Stewart_(politician),Republican,Utah,Male,59
Eric_Swalwell,Democratic,California,Male,39
Mark_Takano,Democratic,California,Male,59
David_Valadao,Republican,California,Male,42
Juan_Vargas,Democratic,California,Male,58
Marc_Veasey,Democratic,Texas,Male,48
Filemon_Vela_Jr.,Democratic,Texas,Male,56
Ann_Wagner,Republican,Missouri,Female,57
Jackie_Walorski,Republican,Indiana,Female,56
Randy_Weber,Republican,Texas,Male,66
Brad_Wenstrup,Republican,Ohio,Male,61
Roger_Williams_(American_politician),Republican,Texas,Male,70
Ted_Yoho,Republican,Florida,Male,64
Robin_Kelly,Democratic,Illinois,Female,63
Jason_Smith_(politician),Republican,Missouri,Male,39
Katherine_Clark,Democratic,Massachusetts,Female,56
Bradley_Byrne,Republican,Alabama,Male,64
Alma_Adams,Democratic,North Carolina,Female,73
Dave_Brat,Republican,Virginia,Male,55
Donald_Norcross,Democratic,New Jersey,Male,60
Ralph_Abraham_(politician),Republican,Louisiana,Male,65
Pete_Aguilar,Democratic,California,Male,40
Rick_W._Allen,Republican,Georgia,Male,68
Brian_Babin,Republican,Texas,Male,71
Don_Beyer,Democratic,Virginia,Male,69
Mike_Bishop_(politician),Republican,Michigan,Male,52
Rod_Blum,Republican,Iowa,Male,64
Mike_Bost,Republican,Illinois,Male,58
Brendan_Boyle,Democratic,Pennsylvania,Male,42
Ken_Buck,Republican,Colorado,Male,60
