Retweeter,Retweeted
Mike_Johnson_(Louisiana_politician),Claudia_Tenney
Mike_Johnson_(Louisiana_politician),Kevin_Brady
Mike_Johnson_(Louisiana_politician),Steve_Scalise
Mike_Johnson_(Louisiana_politician),Steve_Scalise
Mike_Johnson_(Louisiana_politician),Paul_Ryan
Brian_Higgins,Carlos_Curbelo
Brian_Higgins,Stephanie_Murphy
Brian_Higgins,Stephanie_Murphy
Lucille_Roybal-Allard,Ileana_Ros-Lehtinen
Lucille_Roybal-Allard,Ileana_Ros-Lehtinen
John_Lewis_(civil_rights_leader),Jimmy_Gomez
John_Lewis_(civil_rights_leader),Adriano_Espaillat
John_Lewis_(civil_rights_leader),Pramila_Jayapal
John_Lewis_(civil_rights_leader),Ileana_Ros-Lehtinen
Duncan_D._Hunter,Diane_Black
Zoe_Lofgren,Hakeem_Jeffries
Zoe_Lofgren,Steny_Hoyer
Zoe_Lofgren,Frank_Pallone
Zoe_Lofgren,Mark_DeSaulnier
Zoe_Lofgren,Mike_Quigley_(politician)
Zoe_Lofgren,Mike_Quigley_(politician)
Zoe_Lofgren,Adam_Schiff
Zoe_Lofgren,Debbie_Dingell
Zoe_Lofgren,Jerry_Nadler
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Ann_McLane_Kuster
Zoe_Lofgren,Ted_Lieu
Zoe_Lofgren,Juan_Vargas
Zoe_Lofgren,Elijah_Cummings
Zoe_Lofgren,Steny_Hoyer
Zoe_Lofgren,Val_Demings
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Ted_Lieu
Zoe_Lofgren,Jerry_Nadler
Zoe_Lofgren,Steny_Hoyer
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Jared_Huffman
Zoe_Lofgren,Bill_Foster_(politician)
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Kathy_Castor
Zoe_Lofgren,Elizabeth_Esty
Zoe_Lofgren,Mark_Takano
Zoe_Lofgren,John_Sarbanes
Zoe_Lofgren,Ted_Deutch
Zoe_Lofgren,Bennie_Thompson
Zoe_Lofgren,Jerry_Nadler
Zoe_Lofgren,Robin_Kelly
Zoe_Lofgren,Steny_Hoyer
Zoe_Lofgren,Jackie_Speier
Zoe_Lofgren,Jim_McGovern_(American_politician)
Zoe_Lofgren,Rosa_DeLauro
Zoe_Lofgren,Lucille_Roybal-Allard
Zoe_Lofgren,Jim_Sensenbrenner
Zoe_Lofgren,Judy_Chu
Zoe_Lofgren,Ted_Deutch
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Mark_Pocan
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,Joe_Crowley
Zoe_Lofgren,Bill_Pascrell
Zoe_Lofgren,Rosa_DeLauro
Zoe_Lofgren,Maxine_Waters
Zoe_Lofgren,Nancy_Pelosi
Zoe_Lofgren,John_B._Larson
Zoe_Lofgren,Jackie_Speier
Zoe_Lofgren,Joe_Crowley
Martha_Roby,Steve_Scalise
Martha_Roby,Bradley_Byrne
Martha_Roby,Bradley_Byrne
Martha_Roby,Paul_Ryan
Martha_Roby,Paul_Ryan
Martha_Roby,Bradley_Byrne
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Suzan_DelBene
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Tim_Walz
Tim_Walz,Scott_Peters_(politician)
Tim_Walz,Scott_Peters_(politician)
Marcia_Fudge,Marcy_Kaptur
Marcia_Fudge,Tim_Ryan_(Ohio_politician)
Marcia_Fudge,Paul_Tonko
Marcia_Fudge,Karen_Bass
Marcia_Fudge,Tim_Ryan_(Ohio_politician)
Marcia_Fudge,Nancy_Pelosi
John_Carter_(Texas_politician),Paul_Ryan
John_Carter_(Texas_politician),Paul_Ryan
John_Carter_(Texas_politician),Pete_Sessions
John_Carter_(Texas_politician),Paul_Ryan
John_Carter_(Texas_politician),Paul_Ryan
John_Carter_(Texas_politician),Paul_Ryan
Nita_Lowey,Mike_Quigley_(politician)
Nita_Lowey,Barbara_Lee
Nita_Lowey,Eliot_Engel
Nita_Lowey,Steny_Hoyer
Nita_Lowey,Betty_McCollum
Nita_Lowey,Chellie_Pingree
Nita_Lowey,Lucille_Roybal-Allard
