WikiPageName,Party,State,Sex,Age
Charlie_Dent,Republican,Pennsylvania,Male
Jeff_Fortenberry,Republican,Nebraska,Male
Virginia_Foxx,Republican,North Carolina,Female
Louie_Gohmert,Republican,Texas,Male
Al_Green_(politician),Democratic,Texas,Male
Brian_Higgins,Democratic,New York,Male
Dan_Lipinski,Democratic,Illinois,Male
Kenny_Marchant,Republican,Texas,Male
Michael_McCaul,Republican,Texas,Male
Patrick_McHenry,Republican,North Carolina,Male
Cathy_McMorris_Rodgers,Republican,Washington,Female
Gwen_Moore,Democratic,Wisconsin,Female
Ted_Poe,Republican,Texas,Male
Tom_Price_(American_politician),Republican,Georgia,Male
Dave_Reichert,Republican,Washington,Male
Debbie_Wasserman_Schultz,Democratic,Florida,Female
Doris_Matsui,Democratic,California,Female
Albio_Sires,Democratic,New Jersey,Male
Steve_Pearce_(politician),Republican,New Mexico,Male
Gus_Bilirakis,Republican,Florida,Male
Vern_Buchanan,Republican,Florida,Male
Kathy_Castor,Democratic,Florida,Female
Yvette_Clarke,Democratic,New York,Female
Steve_Cohen,Democratic,Tennessee,Male
Joe_Courtney_(politician),Democratic,Connecticut,Male
Keith_Ellison,Democratic,Minnesota,Male
Hank_Johnson,Democratic,Georgia,Male
Jim_Jordan_(American_politician),Republican,Ohio,Male
Doug_Lamborn,Republican,Colorado,Male
Dave_Loebsack,Democratic,Iowa,Male
Kevin_McCarthy_(U.S._Representative),Republican,California,Male
Jerry_McNerney,Democratic,California,Male
Ed_Perlmutter,Democratic,Colorado,Male
Peter_Roskam,Republican,Illinois,Male
John_Sarbanes,Democratic,Maryland,Male
Adrian_Smith_(politician),Republican,Nebraska,Male
Tim_Walz,Democratic,Minnesota,Male
Peter_Welch,Democratic,Vermont,Male
John_Yarmuth,Democratic,Kentucky,Male
Niki_Tsongas,Democratic,Massachusetts,Female
Bob_Latta,Republican,Ohio,Male
Rob_Wittman,Republican,Virginia,Male
André_Carson,Democratic,Indiana,Male,45
Jackie_Speier,Democratic,California,Female
Steve_Scalise,Republican,Louisiana,Male
Marcia_Fudge,Democratic,Ohio,Female
Rick_Nolan,Democratic,Minnesota,Male
Mark_Sanford,Republican,South Carolina,Male
Jason_Chaffetz,Republican,Utah,Male
Mike_Coffman,Republican,Colorado,Male
Gerry_Connolly,Democratic,Virginia,Male
Brett_Guthrie,Republican,Kentucky,Male
Gregg_Harper,Republican,Mississippi,Male
Jim_Himes,Democratic,Connecticut,Male
Duncan_D._Hunter,Republican,California,Male
Lynn_Jenkins,Republican,Kansas,Female
Leonard_Lance,Republican,New Jersey,Male
Blaine_Luetkemeyer,Republican,Missouri,Male
Ben_Ray_Luján,Democratic,New Mexico,Male,47
Tom_McClintock,Republican,California,Male
Pete_Olson,Republican,Texas,Male
Erik_Paulsen,Republican,Minnesota,Male
Chellie_Pingree,Democratic,Maine,Female
Jared_Polis,Democratic,Colorado,Male
Bill_Posey,Republican,Florida,Male
Phil_Roe_(politician),Republican,Tennessee,Male
Tom_Rooney_(Florida_politician),Republican,Florida,Male
Kurt_Schrader,Democratic,Oregon,Male
Glenn_Thompson_(politician),Republican,Pennsylvania,Male
Paul_Tonko,Democratic,New York,Male
Mike_Quigley_(politician),Democratic,Illinois,Male
Judy_Chu,Democratic,California,Female
John_Garamendi,Democratic,California,Male
Ted_Deutch,Democratic,Florida,Male
Tom_Graves,Republican,Georgia,Male
Tom_Reed_(politician),Republican,New York,Male
Tim_Walberg,Republican,Michigan,Male
Bill_Foster_(politician),Democratic,Illinois,Male
Justin_Amash,Republican,Michigan,Male
Lou_Barletta,Republican,Pennsylvania,Male
Karen_Bass,Democratic,California,Female
Diane_Black,Republican,Tennessee,Female
Mo_Brooks,Republican,Alabama,Male
Larry_Bucshon,Republican,Indiana,Male
David_Cicilline,Democratic,Rhode Island,Male
Rick_Crawford_(politician),Republican,Arkansas,Male
Jeff_Denham,Republican,California,Male
Scott_DesJarlais,Republican,Tennessee,Male
Sean_Duffy,Republican,Wisconsin,Male
Jeff_Duncan_(politician),Republican,South Carolina,Male
Blake_Farenthold,Republican,Texas,Male
Chuck_Fleischmann,Republican,Tennessee,Male
Bill_Flores,Republican,Texas,Male
Bob_Gibbs,Republican,Ohio,Male
Paul_Gosar,Republican,Arizona,Male
Trey_Gowdy,Republican,South Carolina,Male
Morgan_Griffith,Republican,Virginia,Male
Andy_Harris_(politician),Republican,Maryland,Male
Vicky_Hartzler,Republican,Missouri,Female
Jaime_Herrera_Beutler,Republican,Washington,Female
Bill_Huizenga,Republican,Michigan,Male
Randy_Hultgren,Republican,Illinois,Male
Bill_Johnson_(Ohio_politician),Republican,Ohio,Male
Bill_Keating_(politician),Democratic,Massachusetts,Male
Mike_Kelly_(Pennsylvania_politician),Republican,Pennsylvania,Male
Adam_Kinzinger,Republican,Illinois,Male
Raúl_Labrador,Republican,Idaho,Male,51
Billy_Long,Republican,Missouri,Male
Tom_Marino,Republican,Pennsylvania,Male
David_McKinley,Republican,West Virginia,Male
Pat_Meehan,Republican,Pennsylvania,Male
Mick_Mulvaney,Republican,South Carolina,Male
Kristi_Noem,Republican,South Dakota,Female
Steven_Palazzo,Republican,Mississippi,Male
Mike_Pompeo,Republican,Kansas,Male
Jim_Renacci,Republican,Ohio,Male
Cedric_Richmond,Democratic,Louisiana,Male,46
Martha_Roby,Republican,Alabama,Female
Todd_Rokita,Republican,Indiana,Male
Dennis_Ross_(politician),Republican,Florida,Male
David_Schweikert,Republican,Arizona,Male
Austin_Scott_(politician),Republican,Georgia,Male
Terri_Sewell,Democratic,Alabama,Female
Steve_Stivers,Republican,Ohio,Male
Scott_Tipton,Republican,Colorado,Male
Daniel_Webster_(Florida_politician),Republican,Florida,Male
Frederica_Wilson,Democratic,Florida,Female
Steve_Womack,Republican,Arkansas,Male
Rob_Woodall,Republican,Georgia,Male
Kevin_Yoder,Republican,Kansas,Male
Mark_Amodei,Republican,Nevada,Male
Suzanne_Bonamici,Democratic,Oregon,Female
Suzan_DelBene,Democratic,Washington,Female
Thomas_Massie,Republican,Kentucky,Male
Donald_Payne_Jr.,Democratic,New Jersey,Male
Dina_Titus,Democratic,Nevada,Female
Carol_Shea-Porter,Democratic,New Hampshire,Female
Colleen_Hanabusa,Democratic,Hawaii,Female
Andy_Barr_(American_politician),Republican,Kentucky,Male
Joyce_Beatty,Democratic,Ohio,Female
Ami_Bera,Democratic,California,Male
Jim_Bridenstine,Republican,Oklahoma,Male
Susan_Brooks,Republican,Indiana,Female
Julia_Brownley,Democratic,California,Female
Cheri_Bustos,Democratic,Illinois,Female
Tony_Cárdenas,Democratic,California,Male,56
Matt_Cartwright,Democratic,Pennsylvania,Male
Joaquín_Castro,Democratic,Texas,Male,45
Chris_Collins_(American_politician),Republican,New York,Male
Doug_Collins_(politician),Republican,Georgia,Male
Paul_Cook_(politician),Republican,California,Male
Kevin_Cramer,Republican,North Dakota,Male
Rodney_Davis_(politician),Republican,Illinois,Male
John_Delaney_(Maryland_politician),Democratic,Maryland,Male
Ron_DeSantis,Republican,Florida,Male,41
Elizabeth_Esty,Democratic,Connecticut,Female
Lois_Frankel,Democratic,Florida,Female
Tulsi_Gabbard,Democratic,Hawaii,Female
Denny_Heck,Democratic,Washington,Male,67
George_Holding,Republican,North Carolina,Male
Richard_Hudson_(American_politician),Republican,North Carolina,Male
Jared_Huffman,Democratic,California,Male
Hakeem_Jeffries,Democratic,New York,Male
David_Joyce_(politician),Republican,Ohio,Male
Joe_Kennedy_III,Democratic,Massachusetts,Male
Dan_Kildee,Democratic,Michigan,Male
Derek_Kilmer,Democratic,Washington,Male
Ann_McLane_Kuster,Democratic,New Hampshire,Female
Doug_LaMalfa,Republican,California,Male
Alan_Lowenthal,Democratic,California,Male
Michelle_Lujan_Grisham,Democratic,New Mexico,Female
Sean_Patrick_Maloney,Democratic,New York,Male
Mark_Meadows_(North_Carolina_politician),Republican,North Carolina,Male
Grace_Meng,Democratic,New York,Female
Luke_Messer,Republican,Indiana,Male
Markwayne_Mullin,Republican,Oklahoma,Male
Beto_O'Rourke,Democratic,Texas,Male
Scott_Perry_(politician),Republican,Pennsylvania,Male
Scott_Peters_(politician),Democratic,California,Male
Robert_Pittenger,Republican,North Carolina,Male
Mark_Pocan,Democratic,Wisconsin,Male
Tom_Rice,Republican,South Carolina,Male
Keith_Rothfus,Republican,Pennsylvania,Male
Raul_Ruiz_(politician),Democratic,California,Male
Kyrsten_Sinema,Democratic,Arizona,Female
Chris_Stewart_(politician),Republican,Utah,Male
Eric_Swalwell,Democratic,California,Male
Mark_Takano,Democratic,California,Male
David_Valadao,Republican,California,Male
Juan_Vargas,Democratic,California,Male
Marc_Veasey,Democratic,Texas,Male
Filemon_Vela_Jr.,Democratic,Texas,Male
Ann_Wagner,Republican,Missouri,Female
Jackie_Walorski,Republican,Indiana,Female
Randy_Weber,Republican,Texas,Male
Brad_Wenstrup,Republican,Ohio,Male
Roger_Williams_(American_politician),Republican,Texas,Male
Ted_Yoho,Republican,Florida,Male
Robin_Kelly,Democratic,Illinois,Female
Jason_Smith_(politician),Republican,Missouri,Male
Katherine_Clark,Democratic,Massachusetts,Female
Bradley_Byrne,Republican,Alabama,Male
Alma_Adams,Democratic,North Carolina,Female
Dave_Brat,Republican,Virginia,Male
Donald_Norcross,Democratic,New Jersey,Male
Ralph_Abraham_(politician),Republican,Louisiana,Male
Pete_Aguilar,Democratic,California,Male
Rick_W._Allen,Republican,Georgia,Male
Brian_Babin,Republican,Texas,Male
Don_Beyer,Democratic,Virginia,Male
Mike_Bishop_(politician),Republican,Michigan,Male
Rod_Blum,Republican,Iowa,Male
Mike_Bost,Republican,Illinois,Male
Brendan_Boyle,Democratic,Pennsylvania,Male
Ken_Buck,Republican,Colorado,Male
Buddy_Carter,Republican,Georgia,Male
Barbara_Comstock,Republican,Virginia,Female
Ryan_Costello,Republican,Pennsylvania,Male
Carlos_Curbelo,Republican,Florida,Male
Mark_DeSaulnier,Democratic,California,Male
Debbie_Dingell,Democratic,Michigan,Female
Tom_Emmer,Republican,Minnesota,Male
Ruben_Gallego,Democratic,Arizona,Male,40
Garret_Graves,Republican,Louisiana,Male
Glenn_Grothman,Republican,Wisconsin,Male
Jody_Hice,Republican,Georgia,Male
French_Hill_(politician),Republican,Arkansas,Male
Will_Hurd,Republican,Texas,Male
Evan_Jenkins_(politician),Republican,West Virginia,Male
John_Katko,Republican,New York,Male
Steve_Knight_(politician),Republican,California,Male
Brenda_Lawrence,Democratic,Michigan,Female
Ted_Lieu,Democratic,California,Male
Barry_Loudermilk,Republican,Georgia,Male
Mia_Love,Republican,Utah,Female
Tom_MacArthur,Republican,New Jersey,Male
Martha_McSally,Republican,Arizona,Female
John_Moolenaar,Republican,Michigan,Male
Alex_Mooney,Republican,West Virginia,Male
Seth_Moulton,Democratic,Massachusetts,Male
Dan_Newhouse,Republican,Washington,Male
Gary_Palmer_(politician),Republican,Alabama,Male
Bruce_Poliquin,Republican,Maine,Male
John_Ratcliffe_(American_politician),Republican,Texas,Male
Kathleen_Rice,Democratic,New York,Female
